# P(WBS) S(WBS) P(WMF) S(WMF)
20190704T170305.540000 20190704T170313.030000 20190704T170304.850000 20190704T170311.880000
20190704T170930.290000 20190704T170937.770000 20190704T170929.590000 20190704T170936.600000
20190704T171225.140000 20190704T171232.650000 20190704T171224.480000 20190704T171231.620000
20190704T173510.800000 20190704T173517.450000 20190704T173511.640000 20190704T173519.060000
20190704T173602.430000 20190704T173610.280000 20190704T173602.370000 20190704T173609.650000
20190704T173805.270000 20190704T173812.490000 20190704T173804.020000 20190704T173810.290000
20190704T173945.540000 20190704T173952.970000 20190704T173945.230000 20190704T173952.370000
20190704T174229.690000 20190704T174235.570000 20190704T174232.510000 20190704T174240.580000
20190704T174303.640000 20190704T174310.700000 20190704T174302.780000 20190704T174309.130000
20190704T174612.110000 20190704T174618.250000 20190704T174613.370000 20190704T174620.570000
20190704T174658.310000 20190704T174704.460000 20190704T174659.710000 20190704T174706.980000
20190704T175948.890000 20190704T175956.060000 20190704T175948.550000 20190704T175955.640000
20190704T180010.190000 20190704T180017.620000 20190704T180009.790000 20190704T180016.980000
20190704T180049.500000 20190704T180056.210000 20190704T180050.770000 20190704T180058.260000
20190704T180246.480000 20190704T180253.680000 20190704T180245.410000 20190704T180251.880000
20190704T180302.820000 20190704T180309.210000 20190704T180304.650000 20190704T180312.910000
20190704T180415.000000 20190704T180422.050000 20190704T180415.510000 20190704T180423.250000
20190704T180800.690000 20190704T180807.940000 20190704T180759.810000 20190704T180806.340000
20190704T180843.380000 20190704T180850.820000 20190704T180843.460000 20190704T180850.960000
20190704T180856.030000 20190704T180903.890000 20190704T180855.040000 20190704T180902.380000
20190704T181301.290000 20190704T181308.020000 20190704T181301.760000 20190704T181308.880000
20190704T181401.940000 20190704T181409.610000 20190704T181401.040000 20190704T181408.090000
20190704T181513.610000 20190704T181519.930000 20190704T181515.580000 20190704T181523.210000
20190704T181854.090000 20190704T181900.460000 20190704T181855.500000 20190704T181902.690000
20190704T182252.790000 20190704T182259.960000 20190704T182252.320000 20190704T182259.750000
20190704T182539.270000 20190704T182545.650000 20190704T182540.830000 20190704T182548.650000
20190704T182852.800000 20190704T182859.450000 20190704T182853.270000 20190704T182900.620000
20190704T183413.950000 20190704T183420.970000 20190704T183414.590000 20190704T183422.210000
20190704T183527.950000 20190704T183534.720000 20190704T183528.880000 20190704T183536.330000
20190704T183741.210000 20190704T183748.130000 20190704T183740.530000 20190704T183747.130000
20190704T183953.090000 20190704T183959.730000 20190704T183955.120000 20190704T184002.870000
20190704T184809.630000 20190704T184817.290000 20190704T184809.510000 20190704T184817.050000
20190704T185056.470000 20190704T185103.540000 20190704T185056.790000 20190704T185104.520000
20190704T185422.470000 20190704T185428.980000 20190704T185424.550000 20190704T185432.420000
20190704T185508.770000 20190704T185516.050000 20190704T185508.950000 20190704T185516.440000
20190704T190138.400000 20190704T190145.720000 20190704T190138.230000 20190704T190145.050000
20190704T190254.610000 20190704T190302.210000 20190704T190254.250000 20190704T190301.450000
20190704T190543.530000 20190704T190550.410000 20190704T190544.330000 20190704T190551.640000
20190704T191030.490000 20190704T191038.180000 20190704T191029.880000 20190704T191037.380000
20190704T191509.210000 20190704T191516.490000 20190704T191509.780000 20190704T191517.370000
20190704T192101.310000 20190704T192108.170000 20190704T192102.260000 20190704T192109.810000
20190704T192456.240000 20190704T192503.450000 20190704T192456.860000 20190704T192504.490000
20190704T192708.640000 20190704T192716.050000 20190704T192707.720000 20190704T192714.330000
20190704T192728.660000 20190704T192736.220000 20190704T192728.590000 20190704T192736.130000
20190704T193330.910000 20190704T193337.960000 20190704T193330.990000 20190704T193338.130000
20190704T193416.030000 20190704T193422.290000 20190704T193418.070000 20190704T193425.770000
20190704T194039.150000 20190704T194046.330000 20190704T194039.570000 20190704T194047.250000
20190704T194758.660000 20190704T194804.960000 20190704T194800.670000 20190704T194808.170000
20190704T194850.830000 20190704T194857.040000 20190704T194852.280000 20190704T194859.490000
20190704T194915.710000 20190704T194923.610000 20190704T194915.280000 20190704T194922.930000
20190704T195221.710000 20190704T195228.010000 20190704T195223.400000 20190704T195231.520000
20190704T195248.880000 20190704T195255.770000 20190704T195249.330000 20190704T195256.690000
20190704T195353.950000 20190704T195401.330000 20190704T195353.130000 20190704T195400.050000
20190704T195810.230000 20190704T195817.490000 20190704T195809.660000 20190704T195816.310000
20190704T200502.210000 20190704T200509.600000 20190704T200501.350000 20190704T200508.130000
20190704T200954.520000 20190704T201001.620000 20190704T200953.460000 20190704T201000.460000
20190704T201337.650000 20190704T201343.610000 20190704T201340.330000 20190704T201348.240000
20190704T202318.480000 20190704T202324.820000 20190704T202319.760000 20190704T202327.420000
20190704T202944.040000 20190704T202951.120000 20190704T202944.190000 20190704T202951.420000
20190704T203017.860000 20190704T203024.490000 20190704T203019.400000 20190704T203027.210000
20190704T203243.670000 20190704T203250.250000 20190704T203244.430000 20190704T203251.810000
20190704T203440.800000 20190704T203447.170000 20190704T203441.880000 20190704T203449.090000
20190704T203738.850000 20190704T203745.660000 20190704T203739.610000 20190704T203747.020000
20190704T204951.410000 20190704T204957.660000 20190704T204953.610000 20190704T205001.120000
20190704T205334.770000 20190704T205340.820000 20190704T205337.430000 20190704T205345.450000
20190704T205454.470000 20190704T205501.380000 20190704T205455.050000 20190704T205502.650000
20190704T205508.920000 20190704T205516.490000 20190704T205508.210000 20190704T205515.530000
20190704T205535.880000 20190704T205543.650000 20190704T205534.920000 20190704T205542.090000
20190704T205721.920000 20190704T205728.890000 20190704T205722.320000 20190704T205729.680000
20190704T205819.010000 20190704T205825.770000 20190704T205820.400000 20190704T205827.930000
20190704T210139.430000 20190704T210146.660000 20190704T210139.730000 20190704T210147.450000
20190704T210717.050000 20190704T210723.320000 20190704T210719.130000 20190704T210726.860000
20190704T211630.470000 20190704T211637.530000 20190704T211629.240000 20190704T211635.250000
20190704T212308.670000 20190704T212315.440000 20190704T212309.580000 20190704T212316.940000
20190704T212559.340000 20190704T212606.650000 20190704T212559.560000 20190704T212606.890000
20190704T213123.290000 20190704T213130.210000 20190704T213124.120000 20190704T213131.650000
20190704T213255.710000 20190704T213302.660000 20190704T213254.940000 20190704T213301.350000
20190704T213636.090000 20190704T213643.880000 20190704T213635.240000 20190704T213642.490000
20190704T214311.250000 20190704T214318.700000 20190704T214310.530000 20190704T214317.230000
20190704T214617.070000 20190704T214623.390000 20190704T214619.190000 20190704T214626.850000
20190704T220417.510000 20190704T220424.170000 20190704T220418.170000 20190704T220425.160000
20190704T221518.980000 20190704T221525.910000 20190704T221518.250000 20190704T221524.640000
20190704T222005.530000 20190704T222012.810000 20190704T222004.990000 20190704T222011.920000
20190704T222035.590000 20190704T222041.940000 20190704T222037.310000 20190704T222045.460000
20190704T223148.570000 20190704T223155.610000 20190704T223149.420000 20190704T223156.960000
20190704T223547.630000 20190704T223553.860000 20190704T223549.130000 20190704T223556.780000
20190704T223823.350000 20190704T223830.780000 20190704T223822.440000 20190704T223829.170000
20190704T224418.120000 20190704T224424.410000 20190704T224420.200000 20190704T224427.760000
20190704T224856.750000 20190704T224903.620000 20190704T224855.310000 20190704T224901.090000
20190704T225152.570000 20190704T225159.760000 20190704T225151.590000 20190704T225157.720000
20190704T225207.190000 20190704T225214.560000 20190704T225207.480000 20190704T225215.210000
20190704T225706.320000 20190704T225712.890000 20190704T225707.360000 20190704T225714.610000
20190704T230338.280000 20190704T230345.010000 20190704T230339.680000 20190704T230347.180000
20190704T230622.420000 20190704T230629.320000 20190704T230621.830000 20190704T230628.330000
20190704T230721.550000 20190704T230729.450000 20190704T230720.740000 20190704T230728.020000
20190704T230845.260000 20190704T230852.420000 20190704T230845.430000 20190704T230853.130000
20190704T231835.250000 20190704T231842.450000 20190704T231834.080000 20190704T231840.410000
20190704T232230.090000 20190704T232237.660000 20190704T232229.650000 20190704T232236.520000
20190704T232329.070000 20190704T232336.180000 20190704T232329.650000 20190704T232337.450000
20190704T232624.910000 20190704T232632.380000 20190704T232624.190000 20190704T232630.970000
20190704T232832.040000 20190704T232839.840000 20190704T232831.640000 20190704T232838.850000
20190704T233154.920000 20190704T233202.860000 20190704T233154.290000 20190704T233201.490000
20190704T233704.760000 20190704T233712.050000 20190704T233704.420000 20190704T233710.850000
20190704T234404.420000 20190704T234411.140000 20190704T234404.750000 20190704T234411.970000
20190704T234532.570000 20190704T234539.610000 20190704T234528.800000 20190704T234532.770000
20190704T234622.510000 20190704T234629.950000 20190704T234621.770000 20190704T234628.930000
20190704T234640.860000 20190704T234647.370000 20190704T234642.410000 20190704T234650.020000
20190704T235106.840000 20190704T235113.850000 20190704T235105.150000 20190704T235110.930000
20190704T235446.470000 20190704T235453.730000 20190704T235446.870000 20190704T235454.620000
20190705T000112.120000 20190705T000119.530000 20190705T000111.750000 20190705T000119.140000
20190705T000833.310000 20190705T000840.550000 20190705T000832.250000 20190705T000838.490000
20190705T000930.770000 20190705T000937.980000 20190705T000929.740000 20190705T000936.210000
20190705T001415.490000 20190705T001422.540000 20190705T001416.220000 20190705T001423.780000
20190705T001653.060000 20190705T001700.610000 20190705T001653.250000 20190705T001700.460000
20190705T001728.260000 20190705T001734.840000 20190705T001728.960000 20190705T001736.610000
20190705T002036.620000 20190705T002043.960000 20190705T002036.440000 20190705T002043.380000
20190705T002212.050000 20190705T002218.010000 20190705T002214.510000 20190705T002222.450000
20190705T002354.320000 20190705T002401.570000 20190705T002353.200000 20190705T002359.580000
20190705T003058.040000 20190705T003105.280000 20190705T003057.010000 20190705T003103.520000
20190705T003217.560000 20190705T003225.650000 20190705T003216.750000 20190705T003224.130000
20190705T004951.850000 20190705T004959.660000 20190705T004950.870000 20190705T004958.210000
20190705T005012.570000 20190705T005018.410000 20190705T005015.330000 20190705T005022.920000
20190705T005039.600000 20190705T005045.450000 20190705T005042.390000 20190705T005050.330000
20190705T005300.990000 20190705T005307.130000 20190705T005302.950000 20190705T005311.170000
20190705T005415.610000 20190705T005422.970000 20190705T005415.080000 20190705T005421.570000
20190705T005653.350000 20190705T005700.530000 20190705T005652.080000 20190705T005658.660000
